ドルアーガの搭（アーケード版）
階数	宝	効果	出現方法	敵	
10階★★	ガントレット 	ギルの防御力が上がる．26 階で必要． 	レッドスライムの呪文を盾で受ける．★☆☆☆☆ 	レッドスライムx4，ブラックナイトx2	この階は，レッドスライムの初期配置によって難易度が天と地ほどに変わってしまう階です．まだここまでの装備ではブラックナイトは危険な敵ですので，かかわりあいにならないようにうまく誘導するなりして下さい．レッドスライムが長い通路にいるときは呪文をうけやすいのでそれほど問題ではありませんが，レッドスライムが入り組んだ通路内にいて，しかもまとまっておらず点在している時が問題です．こういうときは，マトックをうまく使ってレッドスライムのいるあたりに長い通路を作成し，あとはひたすらレッドスライムが呪文を吐いてくれるのを待つしかありません．しかし，短い通路ではwレッドスライムの前で盾を構えて待っていると，レッドスライムに飛びつかれてしまう危険性があります．こういう場合には，剣を出した状態でレッドスライムから横を向き，通路から半分身を乗り出したような格好にして呪文を受けるようにします．こうすれば，レッドスライムが仮に接近してきてもすぐに逃げることができますし，ブラックナイトも交差して逃げることができます． 
11階★★☆	キャンドル 	15 面までゴーストが見えるようになる． 	下辺に触って上る．★☆ 	グリーンスライムx3，メイジx5	この階の宝も 15 面までの期限つきで有効な宝ですので，取らなくても 60 階クリアはできます．しかし，やはりそれほど出しかたが難しいわけでもないので，取っておいたほうがいいでしょう．メイジが多少邪魔ですので，安全に歩ける程度に撃ち減らしておくといいでしょう． 
12階★☆	レッドアーマー 	ギルの防御力が上がる．52 階で必要． 	ドルイドを一番下の通路に出す．★★ 	ブラックスライムx2，ドルイドx2，メイジゴーストx1	始まったらすぐに下に移動して，ドルイドを一番下の通路に出現させるようにします．ゴーストがうっとうしいので，できるだけゴーストは先に倒したほうがいいでしょう．あとは一番下の通路をうろうろして，ドルイドが一番下に出現するのを待ちます．ドルイドは二人いるので，それほど待たなくても出現します． 
13階★★☆	レッドラインシールド 	ギルの防御力が上がる．33 階で必要． 	敵を全滅させる前に扉を通り，かつ敵を全滅させる．★★☆☆ 	ブルースライムx5，ソーサラーx2	この面，ずーっと「扉を通った後に敵を全滅する」だと思ってたー．それでも宝はちゃんと出るんですが，わざわざ難しいやりかたしてたのね…しょっく．そんなわけで，ここはソーサラーを長い通路で出現させて倒しさえすれば，それほど難しくはないでしょう．スライムの呪文の連射にも注意すること． 
14階★★	ドラゴンポット 	クオックスを一撃で倒すことができる． 	タイム5000まで待つ．★ 	レッドスライムx4，ドルイドゴーストx1，ウィザードx1	ここの宝は取る必要は特にありません．ウィザードにさえ気をつけていればそれほど難しくないでしょう． 	
15階★★☆	グリーンネックレス 	27 階で必要． 	ブルーナイトと，剣を出す直後に交差する．★★★☆ 	ブルースライムx2，ブルーナイトx1，ブラックナイトx2，クオックスx1 	ここの宝は「ブルーナイトと交差してダメージを受ける」と出るのですが，ただ剣を出したまますれちがっただけでは出ません．ブルーナイトと交差する直前に剣を出し始めながら交差するとうまくいくようです．クオックスが場合によっては邪魔かもしれませんが，そういう場合はマトックをうまく使ったり，クオックスを誘導してはしのほうまで連れ出すなどして対処しましょう．ブルーナイトと戦った後はかなり体力が落ちているので，ブラックナイトなどと戦うのは避けるべきです． 
16階★★☆	パーマネントキャンドル 	60 階までのゴーストが見えるようになる． 	左右の外壁に触る．★★★☆ 	ミラーナイトx1，メイジx5  	ミラーナイトは，自分がジェットブーツをもっていると移動速度が速くなっています．このミラーナイトが邪魔な場合は，2 ブロックの区画に誘い込んで倒してしまいましょう．メイジはとにかく数が多いので，うかつに剣を出すと変な方向から呪文が飛んできてやられてしまうことが多々あります．また，メイジがまだ沢山残っている状態で長い通路を歩くのは危険です．できるだけ短い通路を渡り歩きましょう． 
17階★★	ポーションオブアンロック 	18 階で必要． 	ゴーストを 5 回ワープさせる．★☆ 	メイジゴーストx2，ドルイドx2，ブルースライムx2 	ここは，始まってすぐに 2 ブロックの場所に移動してじっとしていれば，たいてい宝は出ます．ゴーストがすぐ近くにいてワープしてくれないときには，適当に移動して強引にワープさせるしかないですが，そのときにドルイドとブルースライムの呪文に注意して下さい． 
18階★★☆	ドラゴンスレーヤー 	ギルの攻撃力が上がる．45 階で必要． 	3000 ほどの間，外周に触らずにいる．★ 	ドルイドゴーストx1，ソーサラーx3，ブラックスライムx3  	ここは，出現した場所が外周でなければそのままじっと待っていれば宝が出ます．鍵が外周に触れずとも取りに行ける位置にあるならば，ただ待っているのもなんなので鍵を取りにいくのもいいでしょう．ソーサラーの炎には注意． 	
19階★★★★☆	ブックオブライト 	これがないと，20 階からダンジョンが真っ暗になる． 	扉を開く．★★★☆☆ 	ウィザードx3，クオックスx1，レッドスライムx2 	さて，ここは初心者にとっての第二の難関です．うかつに移動すると，すぐにウィザードの餌食になってしまいます．始まったらすぐに柱と柱の間に立って，ウィザードが出現しないようにします．そして，ウィザードの呪文を避けながら外周まで出て，着実に一人ずつ潰していきます．クオックスが扉までの経路上にいる場合はとても辛いのですが，その場合はウィザードを全滅した後にマトックを使ってかわすか，なんとか誘導してやりすごすかして切り抜けます． 
20階★★☆☆	ポーションオブパワー 	ギルが強くなる． 	敵を一匹も殺さずに扉を開ける．★★★☆☆ 	ドルイドゴーストx1，ドルイドx3，ブラックナイトx4 	宝を取ろうと思ったら，ゴーストすら殺せないのでかなり難しいでしょう．しかし，ここの宝はいらないので取る必要はなく，普通にクリアする上ではさほど難しいわけではありません．ドルイドとブラックナイトにはさみうちされないように注意して下さい． 
21階★★	グリーンリング 	38 階までブルーウィルオーウィスプと交差できるようになる． 	3000 ほど停止する．★☆☆☆ 	ミラーナイトx2，ウィザードゴーストx1，ブルーウィルオーウィスプx3 	ここは，ブルーウィルオーウィスプの初期配置ですべて決まると言っても過言ではありません．ウィスプが遠くにいて当分自分の近くに来る気配がなく，また運よく出現位置が 2 ブロックの場所だったならば，柱の間に立ってじっとしていれば宝がでます．出現位置が 2 ブロックの場所でなければ，すぐそういう場所を探して移動しましょう．もしもウィスプがすぐそばにいたら，すぐにウィスプの移動先を見切って，マトックを使ってウィスプを避けます．見切れなければ死にます… 
22階★★	ポーションオブエナジードレイン 	ギルが弱くなる． 	右x7，左x1，右x7 の順でレバーを入れる．★ 	ソーサラーx2，グリーンスライムx5，クオックスx1 	ここの宝も取る必要はありません．ここまで来たプレーヤなら，クリアするだけならば簡単な階だと思います． 
23階★★★☆	バイブル 	これがないと，24 階からダンジョンが真っ暗になる． 	ウィザードのみ全滅させる．★★☆☆☆ 	ウィザードx3，ブルースライムx4 	ブルースライムの初期配置と，自分の出現位置が難易度に大きく影響する階です．もしも運よく外周付近に出た場合は，ウィザードを一匹ずつ倒していけばオーケーです．運悪く中央付近に出てしまった場合は，とにかく外周まで逃げることが先決です．中央でウィザードと戦おうとするのは自殺行為です．さて，ブルースライムが近くに沢山いる場合がやっかいです．ウィザードを全滅させる前に，一匹でもブルースライムを倒すと宝が出ないので，どうにかしてやりすごすしかないのですが，基本的にはブルースライムが自分であけた穴利用して逃げまくる，というのがいいと思います．マトックは，ウィザードが健在の状態で使うのは危険でしょう．
24階★★☆	バランス 	26 階で必要． 	出現位置で剣を一回振る．★☆☆ 	メイジゴーストx2，メイジx4，ブルーウィルオーウィスプx3 	ここの宝を取らないと，26 階の宝を取った瞬間，剣がまったく出せなくなってしまうというひどい目にあいます．従って，宝を絶対取る必要があります．出しかたは簡単なのですが，だからといって出現直後に剣を振ると，いきなりメイジに「ぷよん」とやられてしまう可能性があります．また，運悪く外周だったりすると，マトックがなくなってしまいかねません．まずが出現位置をよーく見て，2 ブロックの区画内でかつ壁のほうを向いていなければ，すぐに剣を振って宝を取っても安全です．壁のほうを向いている場合は，レバーを壁方向に入れながら剣を振ればマトックは安全です．外周の場合でもこれが使えます．問題はただっぴろい通路の途中とかに出てしまった場合ですが，このときはしょうがないので出現位置をよく覚えておき，メイジとゴーストを全滅させたあとで宝を取ります． 
25階★☆	不明 	不明 	不明 	ウィザードx1，グリーンローパーx1，レッドスライムx4 	ここの宝はずーっと「不明」となっていましたが，どうも何も出ないようです．ローパー初登場の階ですが，戦うのはやめておいたほうがいいでしょう…．とか思っていたら，なんと宝が出るとかいう噂が！ 知っている方是非連絡を！ 
26階★★☆☆	ハイパーガントレット 	ギルの剣を抜く速度が二倍になる． 	鍵を取ってからドルイドを殺す．★★☆ 	ドルイドx4，ハイパーナイトx1，クオックスx1 	ハイパーガントレットは非常にありがたいアイテムです．これを取れば，マジシャンたちにやられる回数も半減するというものです．ドルイドも沢山いるとなかなかうっとうしいので，鍵を取るまえに適当に撃ち減らしておきます．一人でもドルイトが残っていれば，宝は取ることができます． 
27階★	レッドネックレス 	ファイアーエレメントを通過できるようになる． 	ブルーウィルオーウィスプと交差する．★★ 	ミラーナイトx2，ブルーナイトx3，ブルーウィルオーウィスプx3  	レッドネックレスも嬉しいアイテムです．これを取ってしまえばソーサラーは，ただのじじいになりさがるでしょう．マジシャンが出ない階なので，宝を取るのは容易だと思います．ナイトを全滅させて得点を稼ぐのも吉と出ているようです．ウィスプと交差しても宝が出ないときは，自分が止まった状態で交差してみたり，ウィスプと正面(？)から交差したりしてみて下さい． 
28階★★☆☆	ブックオブゲートディテクト 	これがないと，29 階から扉が見えなくなる． 	扉の上で剣を出した状態で止まる．★★★ 	ドルイドゴーストx1，ダークグリーンスライムx3，グリーンローパーx2 	ダークグリーンスライムはなかなかに困りものです．画面外にいても呪文を吐いてくるので，あらぬ方向からいきなり呪文がやってきて死，ということも少なくありません．とかくダークグリーンスライムが大量にたむろしていると近づくこともできなくて，非常に困ってしまいます．ダークグリーンスライムは，筆者思うにドルアーガの塔の真の最強キャラと思うのですがどうでしょうか．ということはさておき，宝を出すには扉の上で停止して，おもむろに剣を出し，そのままずりずりとちょっとずつ移動すればオーケーです．うまくいかない場合は，扉のちょっと手前に止まって，同じことをしてみて下さい．何度かやればたいてい出ます．なお，ローパーには触らないように…． 
29階★☆	ゴールドマトック 	壁を何回でも壊せるようになる． 	レバーを上右下左の順で3回まわす．★ 	ウィザードゴーストx2，ブラックスライムx6，ブルーウィルオーウィスプx2 	最も嬉しい宝「ゴールドマトック」が出る階です．一秒でも早く欲しいからといって，あせってレバーと回すとウィザードゴーストにお仕置されかねません．まずがゴーストを倒し，その後でゆっくりとマトックを取って，そのすばらしさを堪能して下さい．なお，28 階でちゃんと宝を取っていれば，この階には扉が二つ見えているはずです．ひとつは偽物の扉で，それを通過するとギルが扉の後に隠れてしまうので偽物とわかります． 
30階★★☆	ポーションオブアンロック 	31 階で必要． 	左から 3 列目，上から 2 行目の位置と，ここと XY 軸がずれた位置をそれぞれ 3 回通る．あるいは右から 5 列目，上から 2 行目の位置と，ここと XY 軸がずれた位置をそれぞれ 3 回通る．★★☆ 	ソーサラーx2，ハイパーナイトx2，グリーンローパーx2，クオックスx1 	27 階の宝をちゃんと取っていれば，どうということのない階です．クオックスの炎にさえ気をつければ，宝もさほど苦労することなく取れると思います．ただ，ローパーに触ってしまうとハイパーナイトやクオックスと交差できなくなるので，迂闊に触らないように注意したほうがいいでしょう． 
31階★★★★☆	パール 	ドラゴンを足止めできるようになる． 	1P ボタンを押す．★ 	ウィザードx4，ブルースライムx3，ブルーウィルオーウィスプx2 	宝を取るのは楽なのですが，その後が問題です．とにかく外周まで逃げて，ウイザードをひたすら撃ち減らすしかありません．ウィザードさえなんとかしてしまえば，あとはどうにでもなるでしょう． 	
32階★★☆	バランス 	33 階で必要． 	剣を鞘におさめる寸前に剣を出す．★★★ 	ブラックナイトx2，ダークグリーンライムx4，クオックスx1 	ダークグリーンスライムがあいかわらずイヤな階です．宝を出すときはボタンを連打するのではダメで，ギルのグラフィックをよく見てギルが剣を鞘に収める瞬間にボタンを叩くようにすればうまくいきます．一度で宝が出なくても，何度かやっているとそのうちコツがわかって簡単に出るようになります．宝を出すのに夢中になって，クオックに燃やされたりしないように… 
33階★★	ブルーラインシールド 	ギルの防御力が上がる．また呪文に対するバリア能力が半キャラ分まで増加する． 	シルバードラゴンと交差する．★★ 	ウィザードゴーストx1，ドルイドゴーストx1，メイジx1，レッドスライムx2，シルバードラゴンx1 	31 階の宝をもっていれば，シルバードラゴンの動きを止めることができるので，宝を取るのはさほど難しくないと思います．ゴースト二匹とメイジさえかたづけてしまえば，あとはなんとかなると思います． 
34階★☆	ブックオブキーディテクト 	これがないと，35 階から鍵が見えなくなる． 	ミラーナイトのどちらかを殺す．★☆☆☆ 	ウィザードx1，ミラーナイトx2，ブルーウィルオーウィスプx2 	ウィザードがとにかく邪魔なので，まずはこれを倒しておきます．あとはどうということもないでしょう．ウィザードを倒すまえにミラーナイトが来てしまった場合は，柱と柱の間に立ってウィザードが出てこないようにしてから，ミラーナイトと戦います．ウィザードを出さないようにナイトと戦うのは難しいのですが，ジェットブーツ付きのミラーナイトだけは他のナイトに比べてやりやすいのでなんとかなるでしょう． 
35階★☆	ポーションオブエナジードレイン 	ギルが弱くなる． 	ローパー 2 匹と交差する．★★ 	ドルイドx2，ダークグリーンスライムx2，グリーンローパーx2 	ここの宝はいりません．クリアするだけなら難しくはないでしょう．ダークグリーンスライムの呪文さえ注意すれば大丈夫です．もし宝が取りたいならば，剣を出さずに通過するほうが安全です． 
36階★☆	バランス 	37 階で必要． 	ファイアーエレメントを通過する．★ 	ソーサラーx4，リザードマンx1，シルバードラゴンx1 	27 階の宝さえあれば，この階の宝は容易に取れます．というより，それがないと絶対にここの宝は取れません．宝さえ取れば，あとはリザードマンとドラゴンにだけ注意すれば楽勝でしょう． 
37階★★☆	ハイパーヘルメット 	ギルの防御力が上がる． 	ゴーストをすべて殺してからローパーと交差する．★★☆ 	ドルイドゴーストx2，ハイパーナイトx2，レッドローパーx4 	まずはドルイドゴーストを倒してしまいます．ハイパーナイトはのろいので，多分それほど気にならないでしょう．もしもハイパーナイトを倒すつもりなら，ローパーと交差する前に倒さなければなりません．ローパーと交差したら，いずれにしろハイパーナイトとは戦えませんので… 
38階★★☆	グリーンクリスタルロッド 	48 階で必要． 	ウィザードの呪文を剣を出した状態で受ける．★★★☆ 	ウィザードx3，シルバードラゴンx1，ブルーウィルオーウィスプx2 	剣を出した状態で呪文を受けるということは，すなわち「側面受け」をするということです．剣を出した状態では，ギルは正面に向かって左側に盾を持ちます．この状態で左から来た呪文を受けることができるわけですが，ウィザードの呪文をこうやって受けなければ宝が出ません．とりあえず 3 人もウィザードがいると安心して宝を取っていられないので，1 人を残してウィザードを倒しておきます．それから四隅のどこかに行って，剣を出した状態で待ちます (くれぐれも剣を出すときにマトックをなくしてしまわないように！)．ウィザードがどこに出現してもちゃんと盾で受けられるように，あらかじめ向く方向をよく確認しておいたほうがいいでしょう．できれば左下の隅でこれをやるほうが安全です．なぜなら，呪文を受けるときに向く方向が，どちらにしても常に外周方向なので，不意に移動してしまったりしないからです． 
39階★☆	レッドリング 	レッドウィルオーウィスプと交差できるようになる． 	レバーを上x2，下x5 の順に入れる．★ 	メイジゴーストx2，レッドナイトx2，ブルースライムx4，レッドウィルオーウィスプx2 	始まったら即座に宝を取って下さい．そうすれば，あとは簡単にクリアできます．レッドナイトとは間違っても戦わないように． 
40階★★☆	ポーションオブデス 	タイマーの速度が二倍になる． 	タイムが 10000 以下のときにローパーと交差する．★ 	メイジx2，リザードマンx3，グリーンローパーx2 	ここの宝は間違っても取ってはいけません．それ以外は，たいして問題ない階です． 
41階★★★☆☆	ポーションオブキュアー 	タイマーの速度がもとに戻る． 	クオックスを殺す．★★☆☆☆ 	ウィザードx4，クオックスx1，レッドウィルオーウィスプx3 	ウィザードが大量にいるのが困りものです．基本的にクリアできれば何でもいいので，鍵と扉が近いならウィザードを無視してもクリアできます．鍵や扉が遠い場合は，ウィザードを適度に撃ち減らしてからクリアしたほうが安全です．
42階★★★★☆	サファイアメイス 	不明 	鍵を取る前と後にレッドウィルオーウィスプと交差する．★★★☆☆ 	ウィザードゴーストx2，シルバードラゴンx1，レッドウィルオーウィスプx3，ブルーウィルオーウィスプx3 	ここは，交差できないブルーウィスプがいるのでかなり難しい階です．はじまったらすぐにマトックを使って安全地帯を作って下さい．宝は取る必要はありませんが，もしも宝を取る場合には，レッドウィスプをマトックをつかってうまく「捕獲」してから取るのが楽です．あんまりマトックを使いすぎてドラゴンの炎で焼かれないように注意して下さい． 
43階★	ポーションオブエナジードレイン 	ギルが弱くなる． 	グリーン，ブラック，レッド，ブルー，ダークグリーン，ダークイレローの順にスライムを殺す．★☆ 	グリーンスライムx1，ブラックスライムx1，レッドスライムx1，ブルースライムx1，ダークグリーンスライムx1，ダークイレロースライムx1 	全種類のスライムのいる階です．恐いのはダークグリーンとダークイエローだけなので，それさえ気をつければどうということはありません．宝はいらないのですが，取る場合には呪文を吐くスライムを倒す時に気をつけましょう． 
44階★★☆	バランス 	45 階で必要． 	ドルイド，メイジ，ソーサラー，ウィザードの順に殺す．★★★★☆ 	ドルイドx1，メイジx1，ソーサラーx1，ウィザードx1，レッドナイトx2 	ドルアーガの塔中で，もっとも宝を取るのが難しいのがおそらくこの階です．はじまったらとにかく外周まで移動して，あとはひたすら順序通りにマジシャンを倒すだけです．しかし，マジシャンが重なって出現したり，ときおりレッドナイトの横槍が入ったり，いつまでたっても次に倒すべきマジシャンが近くに出てくれなかったりとさんざんです．この階は，とにかく忍耐が大切です．うかつに動きまわるより，隅でじっとマジシャンが出るのを待つほうが得策というものです．ただし，この戦法を使うとマジシャンが重なって出現したりして忍耐力を要求されるので，上級者の場合は外周を歩きまわりながら戦うほうが楽かもしれません． 
45階★☆	エクスカリバー 	ギルの攻撃力が上がる． 	リザードマン，ハイパーナイト，ミラーナイト，ブラックナイト，ブルーナイトの順に殺し，出現した宝箱を取ってから最初からある宝箱を取る．★★★☆ 	レッドナイトx1，リザードマンx1，ハイパーナイトx1，ミラーナイトx1，ブラックナイトx1，ブルーナイトx1 	レッドナイトを除くすべてのナイトを強い順に倒すだけなのですが，足の早いミラーナイトにおいまわされると結構やっかいです．また，不運にもナイトが重なってしまうこともあります．うまくナイトを誘導してやれば，その状態を回避できることもありますが，どうしてもうまくいかないときは自殺するしかありません． 
46階★★☆☆	ブルーネックレス 	ドラゴンの炎を通過可能になる． 	外周を一周する．★★★☆ 	ドルイドゴーストx2，ダークイエロースライムx2，グリーンローパーx2，ブラックドラゴンx1 	まずはゴーストを倒しておきます．それから，適当な外周の一点からはじめて，ぐるっと外周を一周すれば宝が出ます．鍵と扉が両方とも外周上にあって，まちがって先に鍵をとってしまうとどうにもならなくなります．外周一周をはじめるまえに，まず鍵と扉の位置をよく確認しておいたほうがいいでしょう． 
47階★★★☆	ポーションオブアンロック 	49 階の宝を取るならば必要． 	ローパーを殺す．★ 	レッドローパーx3，レッドウィルオーウィスプx2，ブルーウィルオーウィスプx2 	ブルーウィスプが危険な階です．ただ，安全地帯を先に作ってしまえばそれほど問題はありません．この階の宝は必要ないので，こんな危険な階はさっさとクリアするのが中吉と出ているようです． 
48階★★☆☆	レッドクリスタルロッド 	58 階で必要． 	四隅を通過する．★★★☆ 	ドルイドゴーストx2，ダークグリーンスライムx5，クオックスx1 	46 階と同じようにして外周を一周すれば自動的に宝が出ます．ダークグリーンスライムにさえ注意する点を除けば，あとは 46 階の時と同じです．46 階の宝さえあれば，クオックスは恐くないでしょう． 
49階★★★☆	ポーションオブエナジードレイン 	ギルが弱くなる． 	扉を通過してからウィザードを殺す．★★★☆ 	ウィザードx3，ハイパーナイトx2，リザードマンx3  	ウィザードがいるので剣が抜けず，ナイトたちをかわすのがしんどい階です．この階の宝はいらないので，ともかくクリアをめざしましょう．クリアするだけならウィザードは無視しても大丈夫です．よっぽど鍵や扉が遠いときは，ウィザードを先に倒しておいたほうが安全ですが…． 
50階★★☆	ポーションオブパワー 	ギルが強くなる． 	外周の左上と右下を通過する．★★☆ 	ウィザードx2，ブルースライムx3，ブルーローパーx2，ブラックドラゴンx1 	ここの宝もいりません．ウィザードはうっとうしいですが，このあたりまで来た猛者ならば，この程度の敵はどうということはないでしょう．さくっとクリアします． 
51階★★☆	バランス 	52 階で必要． 	いずれかの方向にレバーを 3000 ほど入れつづける．★☆ 	ソーサラーx2，レッドスライムx2，グリーンローパーx1，レッドローパーx1，ブルーローパーx1 	ここの宝は意外と簡単に出せます．大抵は出現してすぐに適当な方向にレバーを入れたままにすれば宝が出せます．ローパーやスライムが近くにいて危険そうならば，適当に安全な場所を探してから宝を取って下さい．ソーサラーは無視しても問題ないでしょう． 	
52階★★☆☆	ハイパーアーマー 	ギルの防御力が上がる．また，呪文を一回だけ盾以外で受けてもミスにならなくなる． 	壁をマトックで 4 つ壊す．★★☆ 	メイジゴーストx1，ドルイドx3，ダークグリーンスライムx2，シルバードラゴンx1，ブラックドラゴンx1 	宝の出しかたは難しくないように見えるのですが，実はドルイドやダークグリーンスライムがかなり邪魔で，なかなかすぐには取れません．先にゴーストとドルイドは倒しておいたほうがいいでしょう．ドラゴンが二匹いる珍しい階ですが，両方とも倒そうとするのはかなり辛いと思います．ここの宝さえ取れば，ウィザードの恐怖も半減するというものです． 	
53階★	ポーションオブアンロック 	54 階で必要． 	左から 10 列目，下から 3 行目の位置から下に進む．★ 	レッドナイトx2，ハイパーナイトx2，ミラーナイトx1  	マジシャンもウィスプもいないので楽勝な階です．宝も，行くべき位置さえ分かれば簡単に取れます．レッドナイトは強いので放置しておくとして，残りは得点稼ぎの餌食にでもなってもらって下さい． 
54階★★★★☆	ブルーリング 	ウィルオーウィスプのどちらとも交差できるようになる． 	左から 10 列目，上から 2 行目の位置から下に進む．★★☆☆☆ 	ダークイエロースライムx2，ブルーローパーx3，レッドウィルオーウィスプx3，ブルーウィルオーウィスプx3  	ここは，触ったら即死のブルーウィルオーウィスプが出るので，始まったらすぐにマトックで安全地帯を作る必要があります．次に宝を出すために特定の位置まで移動する必要がありますがウィスプが恐いので，まずはウィスプを壁ループにハメてしまうのがいいでしょう．そうすれば，あとはダークイエロースライムさえ気をつければ問題ないと思います．	
55階★★★☆	なし 	なし 	なし 	ウィザードx5，リザードマンx3 	ウィザードが山ほど出現します．宝もないので可能な限り迅速にクリアしましょう．ウィザード x5 とは言うものの，ここまで来れば装備もかなり充実しているはずなので，クリアするだけならばそれほど苦痛ではないでしょう．
56階★☆☆	空箱 	なし 	呪文を盾以外で受ける．★ 	ウィザードx1，ブルーローパーx6，レッドウィルオーウィスプx3，ブルーウィルオーウィスプx3 	ここの宝箱は何も入っていません．取るだけムダなのでとっととクリアするのが吉と出ています．点稼ぎキャラもいないし．装備さえちゃんとしていれば，何も難しくないでしょう． 
